MM/DD/YYYY,ID,YEAR,MONTH,DAY,TMAX,TMAX_FLAGS,TMIN,TMIN_FLAGS,PRCP,PRCP_FLAGS,SNWD,SNWD_FLAGS,AWND,AWND_FLAGS,FMTM,FMTM_FLAGS,PGTM,PGTM_FLAGS,TAVG,TAVG_FLAGS,WDF2,WDF2_FLAGS,WDF5,WDF5_FLAGS,WSF2,WSF2_FLAGS,WSF5,WSF5_FLAGS,TSUN,TSUN_FLAGS,WT01,WT01_FLAGS,WT02,WT02_FLAGS,WT08,WT08_FLAGS,WT03,WT03_FLAGS,SNOW,SNOW_FLAGS,WT07,WT07_FLAGS
1998-04-11,USW00003171,1998,04,11,178.0,__W,67.0,__W,41.0,__W,nan,nan,23.0,__W,1340.0,__W,1325.0,__W,122.0,__W,150.0,__W,150.0,__W,63.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-12,USW00003171,1998,04,12,183.0,__W,72.0,__W,0.0,T_W,nan,nan,27.0,__W,1339.0,__W,1338.0,__W,128.0,__W,280.0,__W,280.0,__W,67.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-13,USW00003171,1998,04,13,150.0,__W,44.0,__W,5.0,__W,nan,nan,20.0,__W,1731.0,__W,1730.0,__W,100.0,__W,240.0,__W,240.0,__W,58.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-14,USW00003171,1998,04,14,172.0,__W,61.0,__W,13.0,__W,nan,nan,30.0,__W,1520.0,__W,1519.0,__W,117.0,__W,230.0,__W,230.0,__W,72.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-15,USW00003171,1998,04,15,178.0,__W,44.0,__W,0.0,T_W,nan,nan,26.0,__W,1516.0,__W,1546.0,__W,111.0,__W,220.0,__W,260.0,__W,80.0,__W,103.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-16,USW00003171,1998,04,16,206.0,__W,28.0,__W,0.0,__W,nan,nan,21.0,__W,1633.0,__W,1659.0,__W,117.0,__W,290.0,__W,270.0,__W,72.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-17,USW00003171,1998,04,17,250.0,__W,33.0,__W,0.0,__W,nan,nan,24.0,__W,938.0,__W,900.0,__W,144.0,__W,30.0,__W,40.0,__W,80.0,__W,103.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-18,USW00003171,1998,04,18,278.0,__W,56.0,__W,0.0,__W,nan,nan,21.0,__W,1727.0,__W,1640.0,__W,167.0,__W,270.0,__W,240.0,__W,63.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-19,USW00003171,1998,04,19,289.0,__W,72.0,__W,0.0,__W,nan,nan,17.0,__W,1501.0,__W,1538.0,__W,183.0,__W,270.0,__W,270.0,__W,67.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-20,USW00003171,1998,04,20,333.0,__W,83.0,__W,0.0,__W,nan,nan,14.0,__W,1542.0,__W,1628.0,__W,211.0,__W,300.0,__W,280.0,__W,67.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-21,USW00003171,1998,04,21,350.0,__W,122.0,__W,0.0,__W,nan,nan,19.0,__W,1559.0,__W,1616.0,__W,239.0,__W,300.0,__W,280.0,__W,76.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-22,USW00003171,1998,04,22,278.0,__W,100.0,__W,0.0,__W,nan,nan,27.0,__W,1644.0,__W,1639.0,__W,189.0,__W,300.0,__W,290.0,__W,80.0,__W,107.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-23,USW00003171,1998,04,23,206.0,__W,117.0,__W,0.0,__W,nan,nan,32.0,__W,1240.0,__W,1433.0,__W,161.0,__W,300.0,__W,300.0,__W,89.0,__W,112.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-24,USW00003171,1998,04,24,217.0,__W,100.0,__W,0.0,__W,nan,nan,24.0,__W,1612.0,__W,1614.0,__W,161.0,__W,270.0,__W,270.0,__W,76.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-25,USW00003171,1998,04,25,222.0,__W,106.0,__W,0.0,T_W,nan,nan,20.0,__W,1557.0,__W,1422.0,__W,167.0,__W,260.0,__W,270.0,__W,76.0,__W,125.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-26,USW00003171,1998,04,26,267.0,__W,67.0,__W,0.0,__W,nan,nan,27.0,__W,1133.0,__W,1236.0,__W,167.0,__W,350.0,__W,290.0,__W,103.0,__W,134.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-19,USW00003171,1998,07,19,333.0,__W,189.0,__W,0.0,__W,nan,nan,27.0,__W,1605.0,__W,1600.0,__W,261.0,__W,280.0,__W,290.0,__W,72.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-20,USW00003171,1998,07,20,328.0,__W,178.0,__W,0.0,__W,nan,nan,21.0,__W,1646.0,__W,1646.0,__W,256.0,__W,290.0,__W,280.0,__W,72.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-21,USW00003171,1998,07,21,333.0,__W,178.0,__W,0.0,__W,nan,nan,24.0,__W,1633.0,__W,1635.0,__W,256.0,__W,300.0,__W,300.0,__W,76.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-22,USW00003171,1998,07,22,306.0,__W,194.0,__W,0.0,__W,nan,nan,30.0,__W,1640.0,__W,1535.0,__W,250.0,__W,290.0,__W,300.0,__W,76.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-23,USW00003171,1998,07,23,306.0,__W,172.0,__W,0.0,__W,nan,nan,28.0,__W,1404.0,__W,1317.0,__W,239.0,__W,280.0,__W,290.0,__W,76.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-24,USW00003171,1998,07,24,311.0,__W,172.0,__W,0.0,__W,nan,nan,22.0,__W,1440.0,__W,1538.0,__W,244.0,__W,270.0,__W,280.0,__W,67.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-25,USW00003171,1998,07,25,350.0,__W,161.0,__W,0.0,__W,nan,nan,18.0,__W,1539.0,__W,1359.0,__W,256.0,__W,300.0,__W,320.0,__W,67.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-26,USW00003171,1998,07,26,400.0,__W,172.0,__W,0.0,__W,nan,nan,16.0,__W,1312.0,__W,1514.0,__W,289.0,__W,300.0,__W,250.0,__W,67.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-27,USW00003171,1998,07,27,400.0,__W,183.0,__W,0.0,__W,nan,nan,20.0,__W,1459.0,__W,1459.0,__W,294.0,__W,290.0,__W,290.0,__W,76.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-28,USW00003171,1998,07,28,400.0,__W,200.0,__W,0.0,__W,nan,nan,25.0,__W,1603.0,__W,1603.0,__W,300.0,__W,290.0,__W,290.0,__W,80.0,__W,103.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-29,USW00003171,1998,07,29,333.0,__W,183.0,__W,0.0,__W,nan,nan,25.0,__W,1533.0,__W,1539.0,__W,261.0,__W,300.0,__W,300.0,__W,80.0,__W,103.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-30,USW00003171,1998,07,30,311.0,__W,167.0,__W,0.0,__W,nan,nan,28.0,__W,1518.0,__W,1605.0,__W,239.0,__W,300.0,__W,290.0,__W,80.0,__W,103.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-07-31,USW00003171,1998,07,31,328.0,__W,144.0,__W,0.0,__W,nan,nan,18.0,__W,1430.0,__W,1546.0,__W,239.0,__W,290.0,__W,270.0,__W,72.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-01,USW00003171,1998,08,1,367.0,__W,144.0,__W,0.0,__W,nan,nan,17.0,__W,1635.0,__W,1635.0,__W,256.0,__W,270.0,__W,270.0,__W,72.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-02,USW00003171,1998,08,2,394.0,__W,156.0,__W,0.0,__W,nan,nan,21.0,__W,1710.0,__W,1503.0,__W,278.0,__W,290.0,__W,270.0,__W,67.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-05,USW00003171,1998,08,5,372.0,__W,183.0,__W,0.0,__W,nan,nan,26.0,__W,1430.0,__W,1422.0,__W,278.0,__W,290.0,__W,290.0,__W,76.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-06,USW00003171,1998,08,6,344.0,__W,172.0,__W,0.0,__W,nan,nan,25.0,__W,1415.0,__W,1510.0,__W,261.0,__W,300.0,__W,280.0,__W,72.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-07,USW00003171,1998,08,7,361.0,__W,183.0,__W,0.0,__W,nan,nan,25.0,__W,1439.0,__W,1439.0,__W,272.0,__W,300.0,__W,290.0,__W,80.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-08,USW00003171,1998,08,8,400.0,__W,167.0,__W,0.0,__W,nan,nan,21.0,__W,1517.0,__W,1429.0,__W,283.0,__W,270.0,__W,250.0,__W,76.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-10,USW00003171,1998,08,10,350.0,__W,228.0,__W,0.0,T_W,nan,nan,22.0,__W,1654.0,__W,1722.0,__W,289.0,__W,270.0,__W,270.0,__W,67.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-11,USW00003171,1998,08,11,367.0,__W,206.0,__W,0.0,__W,nan,nan,24.0,__W,1539.0,__W,1547.0,__W,289.0,__W,290.0,__W,280.0,__W,76.0,__W,107.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-12,USW00003171,1998,08,12,383.0,__W,211.0,__W,0.0,__W,nan,nan,22.0,__W,1702.0,__W,1700.0,__W,300.0,__W,280.0,__W,280.0,__W,76.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-13,USW00003171,1998,08,13,378.0,__W,206.0,__W,0.0,__W,nan,nan,22.0,__W,1608.0,__W,1440.0,__W,294.0,__W,280.0,__W,290.0,__W,67.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-14,USW00003171,1998,08,14,394.0,__W,200.0,__W,0.0,__W,nan,nan,27.0,__W,1541.0,__W,1559.0,__W,300.0,__W,290.0,__W,300.0,__W,98.0,__W,116.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-15,USW00003171,1998,08,15,339.0,__W,194.0,__W,0.0,__W,nan,nan,28.0,__W,1430.0,__W,1511.0,__W,267.0,__W,290.0,__W,280.0,__W,80.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-16,USW00003171,1998,08,16,328.0,__W,189.0,__W,0.0,__W,nan,nan,25.0,__W,1702.0,__W,1423.0,__W,261.0,__W,290.0,__W,280.0,__W,72.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-17,USW00003171,1998,08,17,300.0,__W,178.0,__W,0.0,__W,nan,nan,25.0,__W,1638.0,__W,1659.0,__W,239.0,__W,280.0,__W,270.0,__W,67.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-18,USW00003171,1998,08,18,317.0,__W,150.0,__W,0.0,__W,nan,nan,19.0,__W,1706.0,__W,1705.0,__W,233.0,__W,280.0,__W,280.0,__W,76.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-19,USW00003171,1998,08,19,322.0,__W,133.0,__W,0.0,__W,nan,nan,20.0,__W,1620.0,__W,1436.0,__W,228.0,__W,280.0,__W,280.0,__W,72.0,__W,107.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-20,USW00003171,1998,08,20,339.0,__W,139.0,__W,0.0,__W,nan,nan,18.0,__W,1621.0,__W,1705.0,__W,239.0,__W,260.0,__W,280.0,__W,63.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-21,USW00003171,1998,08,21,378.0,__W,150.0,__W,0.0,__W,nan,nan,17.0,__W,1640.0,__W,1640.0,__W,267.0,__W,280.0,__W,280.0,__W,67.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-22,USW00003171,1998,08,22,406.0,__W,161.0,__W,0.0,__W,nan,nan,19.0,__W,1359.0,__W,1521.0,__W,283.0,__W,280.0,__W,260.0,__W,72.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-23,USW00003171,1998,08,23,411.0,__W,194.0,__W,0.0,__W,nan,nan,22.0,__W,1436.0,__W,1344.0,__W,306.0,__W,280.0,__W,290.0,__W,89.0,__W,112.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-24,USW00003171,1998,08,24,356.0,__W,183.0,__W,0.0,__W,nan,nan,21.0,__W,1531.0,__W,1555.0,__W,272.0,__W,300.0,__W,300.0,__W,80.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-25,USW00003171,1998,08,25,344.0,__W,178.0,__W,0.0,__W,nan,nan,25.0,__W,1608.0,__W,1537.0,__W,261.0,__W,290.0,__W,290.0,__W,76.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-26,USW00003171,1998,08,26,339.0,__W,172.0,__W,0.0,__W,nan,nan,23.0,__W,1516.0,__W,1225.0,__W,256.0,__W,280.0,__W,320.0,__W,76.0,__W,103.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-27,USW00003171,1998,08,27,367.0,__W,167.0,__W,0.0,__W,nan,nan,18.0,__W,1618.0,__W,1617.0,__W,267.0,__W,270.0,__W,260.0,__W,67.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-28,USW00003171,1998,08,28,394.0,__W,167.0,__W,0.0,__W,nan,nan,17.0,__W,1558.0,__W,1557.0,__W,283.0,__W,290.0,__W,290.0,__W,72.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-29,USW00003171,1998,08,29,428.0,__W,217.0,__W,0.0,__W,nan,nan,20.0,__W,1514.0,__W,1401.0,__W,322.0,__W,290.0,__W,280.0,__W,76.0,__W,107.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-30,USW00003171,1998,08,30,422.0,__W,228.0,__W,0.0,__W,nan,nan,20.0,__W,1312.0,__W,1441.0,__W,328.0,__W,300.0,__W,280.0,__W,76.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-08-31,USW00003171,1998,08,31,411.0,__W,233.0,__W,10.0,__W,nan,nan,34.0,__W,1739.0,__W,1737.0,__W,322.0,__W,10.0,__W,10.0,__W,139.0,__W,183.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-01,USW00003171,1998,09,1,406.0,__W,217.0,__W,0.0,__W,nan,nan,34.0,__W,1420.0,__W,1259.0,__W,311.0,__W,20.0,__W,20.0,__W,94.0,__W,125.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-02,USW00003171,1998,09,2,411.0,__W,211.0,__W,0.0,T_W,nan,nan,14.0,__W,1229.0,__W,1343.0,__W,311.0,__W,50.0,__W,200.0,__W,112.0,__W,139.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-03,USW00003171,1998,09,3,394.0,__W,233.0,__W,0.0,T_W,nan,nan,20.0,__W,2026.0,__W,1647.0,__W,317.0,__W,90.0,__W,270.0,__W,58.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-04,USW00003171,1998,09,4,278.0,__W,222.0,__W,0.0,T_W,nan,nan,35.0,__W,1226.0,__W,1300.0,__W,250.0,__W,300.0,__W,300.0,__W,76.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-05,USW00003171,1998,09,5,267.0,__W,206.0,__W,0.0,__W,nan,nan,17.0,__W,1437.0,__W,1045.0,__W,239.0,__W,290.0,__W,270.0,__W,49.0,__W,67.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-06,USW00003171,1998,09,6,317.0,__W,200.0,__W,0.0,__W,nan,nan,23.0,__W,1615.0,__W,1615.0,__W,261.0,__W,300.0,__W,290.0,__W,67.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-07,USW00003171,1998,09,7,328.0,__W,183.0,__W,0.0,__W,nan,nan,24.0,__W,1607.0,__W,1606.0,__W,256.0,__W,290.0,__W,290.0,__W,72.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-08,USW00003171,1998,09,8,322.0,__W,172.0,__W,0.0,__W,nan,nan,24.0,__W,1329.0,__W,1616.0,__W,250.0,__W,300.0,__W,290.0,__W,76.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-09,USW00003171,1998,09,9,300.0,__W,167.0,__W,0.0,__W,nan,nan,22.0,__W,1505.0,__W,1504.0,__W,233.0,__W,270.0,__W,260.0,__W,67.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-10,USW00003171,1998,09,10,311.0,__W,167.0,__W,0.0,__W,nan,nan,21.0,__W,1711.0,__W,1711.0,__W,239.0,__W,280.0,__W,290.0,__W,63.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-11,USW00003171,1998,09,11,311.0,__W,139.0,__W,0.0,__W,nan,nan,18.0,__W,1512.0,__W,1537.0,__W,228.0,__W,270.0,__W,270.0,__W,72.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-12,USW00003171,1998,09,12,317.0,__W,122.0,__W,0.0,__W,nan,nan,15.0,__W,1615.0,__W,1614.0,__W,222.0,__W,280.0,__W,270.0,__W,63.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-13,USW00003171,1998,09,13,317.0,__W,139.0,__W,0.0,__W,nan,nan,21.0,__W,1413.0,__W,1433.0,__W,228.0,__W,300.0,__W,290.0,__W,67.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-14,USW00003171,1998,09,14,317.0,__W,133.0,__W,0.0,__W,nan,nan,19.0,__W,1342.0,__W,1355.0,__W,228.0,__W,280.0,__W,290.0,__W,67.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-15,USW00003171,1998,09,15,317.0,__W,150.0,__W,0.0,__W,nan,nan,21.0,__W,1617.0,__W,1609.0,__W,233.0,__W,270.0,__W,280.0,__W,63.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-16,USW00003171,1998,09,16,322.0,__W,139.0,__W,0.0,__W,nan,nan,16.0,__W,1419.0,__W,1447.0,__W,233.0,__W,300.0,__W,270.0,__W,67.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-17,USW00003171,1998,09,17,328.0,__W,133.0,__W,0.0,__W,nan,nan,18.0,__W,1605.0,__W,1538.0,__W,233.0,__W,270.0,__W,270.0,__W,63.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-18,USW00003171,1998,09,18,322.0,__W,117.0,__W,0.0,__W,nan,nan,17.0,__W,1447.0,__W,1446.0,__W,222.0,__W,290.0,__W,290.0,__W,67.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-19,USW00003171,1998,09,19,294.0,__W,117.0,__W,0.0,__W,nan,nan,21.0,__W,1631.0,__W,1541.0,__W,206.0,__W,290.0,__W,280.0,__W,72.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-20,USW00003171,1998,09,20,239.0,__W,167.0,__W,0.0,__W,nan,nan,24.0,__W,1611.0,__W,1610.0,__W,206.0,__W,280.0,__W,300.0,__W,67.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-21,USW00003171,1998,09,21,233.0,__W,167.0,__W,0.0,__W,nan,nan,18.0,__W,1610.0,__W,1536.0,__W,200.0,__W,270.0,__W,300.0,__W,49.0,__W,67.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-22,USW00003171,1998,09,22,250.0,__W,172.0,__W,0.0,__W,nan,nan,21.0,__W,1602.0,__W,1602.0,__W,211.0,__W,250.0,__W,250.0,__W,58.0,__W,72.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-09-23,USW00003171,1998,09,23,244.0,__W,122.0,__W,0.0,__W,nan,nan,17.0,__W,1713.0,__W,1457.0,__W,183.0,__W,270.0,__W,280.0,__W,49.0,__W,72.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
